glycan_ID,residue,residue_ID,name,anomer,absolute,ring,parent_ID,site,form_name
G00500HT,unassigned,9,Gal,b,D,p,7,4,Galp,9,
G00500HT,unassigned,10,NeuNAc,a,D,p,9,3,NeupNAc,10,
G00504PK,unassigned,16,Gal,b,D,p,x,x,Galp,16,
G00504PK,unassigned,7,GlcNAc,b,D,p,N1,x,GlcpNAc,7,
G00504PK,unassigned,9,Gal,b,D,p,7,4,Galp,9,
G00523PT,unassigned,3,GlcNAc,x,D,p,OC,x,GlcpNAc,3,
G00523PT,unassigned,5,Gal,x,D,p,3,x,Galp,5,
G00523PT,unassigned,6,Fuc,x,L,p,5,x,Fucp,6,
G00523PT,unassigned,7,GalNAc,x,D,p,5,x,GalpNAc,7,
G00523YW,unassigned,22,NeuNAc,a,D,p,N60,3|6,NeupNAc,22,
G00523YW,unassigned,10,NeuNAc,a,D,p,N3,3|6,NeupNAc,10,
G00524NO,unassigned,13,HexNAc,x,x,x,N4,x,HexNAc,13,
G00524NO,unassigned,15,Gal,b,D,p,13,4,Galp,15,
G00524NO,unassigned,16,NeuNAc,a,D,p,15,3,NeupNAc,16,
G00524NO,unassigned,7,HexNAc,x,x,x,N1,x,HexNAc,7,
G00524NO,unassigned,9,Gal,b,D,p,7,4,Galp,9,
G00524NO,unassigned,10,NeuNAc,a,D,p,9,3,NeupNAc,10,
G00542QA,unassigned,2,GlcNAc,x,D,p,OC,x,GlcpNAc,2,
G00542QA,unassigned,3,Gal,x,D,p,2,x,Galp,3,
G00542QA,unassigned,4,Fuc,x,L,p,2,x,Fucp,4,
G00542QA,unassigned,6,GlcNAc,x,D,p,OC,x,GlcpNAc,6,
G00542QA,unassigned,7,Gal,x,D,p,6,x,Galp,7,
G00544JF,unassigned,11,GlcNAc,b,D,p,10,2,GlcpNAc,11,
G00544JF,unassigned,13,Gal,b,D,p,11,4,Galp,13,
G00544JF,unassigned,6,Man,a,D,p,NC,x,Manp,6,
G00544JF,unassigned,7,GlcNAc,b,D,p,6,2,GlcpNAc,7,
G00544JF,unassigned,9,Gal,b,D,p,7,3,Galp,9,
G00544JF,unassigned,10,Man,a,D,p,NC,x,Manp,10,
G00545NQ,unassigned,16,Gal,b,D,p,x,x,Galp,16,
G00551JZ,unassigned,11,GlcNAc,x,D,p,10,x,GlcpNAc,11,
G00551JZ,unassigned,12,Gal,x,D,p,11,x,Galp,12,
